Session,Week,Suggested Days,Track,Title,Hours,Status,Files to Build,Key Patterns / Concepts,Prerequisites,Notes
19,6,Wed-Thu,G — Architect Skills,Red-teaming & Compliance,2,Not Started,"red_team_report.md, model_card.md","Adversarial prompt injection at depth, PII at scale (Presidio), compliance frameworks (GDPR/HIPAA/SOC 2), audit trails, model cards",safe_rag.py,Hardening against real attacks. Reinforces Brij concept #07 (Guardrails).
20,6,Sat,G — Architect Skills,AI Product & UX Patterns,2,Not Started,"ux_audit.md, failure_ux_designs.md","When NOT to use AI, UX for non-determinism, user trust calibration, AI feature scoping, failure UX patterns",all prior sessions,Product thinking complements engineering.
21,7,Mon-Tue,H — Healthcare,Healthcare AI Landscape & Compliance,2,Not Started,"healthcare/landscape.md, healthcare/regulatory_map.md","Healthcare stakeholder map, HIPAA/GDPR/FDA SaMD frameworks, deidentification, the cost of being wrong, regulatory grey zones",Sessions 18-20,US/India focus to be picked.
22,7,Wed-Thu,H — Healthcare,Reference Arch: Clinical Decision Support,2,Not Started,"healthcare/cds_architecture.md, healthcare/cds_prototype.py outline","RAG over clinical guidelines, audit-grade logging, doctor-in-the-loop HITL, faithfulness as safety floor",Session 10,Whiteboard a real CDS.
23,7,Sat,H — Healthcare,Case Study: HIPAA-Compliant Medical Chatbot,2,Not Started,"healthcare/medical_chatbot/","PII redaction (Presidio), citation grounding, audit trail, reverse-engineering of Hippocratic/Glass Health/K Health/Abridge",Session 22,Vertical slice build.
24,8,Mon-Tue,I — Agriculture,AgriTech AI Landscape,2,Not Started,"agritech/landscape.md","Smallholder vs commercial farming, India constraints (8 crore farmers, vernacular, connectivity), use case taxonomy, multi-modal as requirement",Sessions 18-20,Likely India-first focus.
25,8,Wed-Thu,I — Agriculture,Reference Arch: Crop Diagnostic + Advisory,2,Not Started,"agritech/cropdoc_architecture.md","Vision-first agent (image input), voice I/O via Whisper, offline-tolerant design, vernacular RAG, government scheme retrieval",Session 9,Multi-modal is mandatory here.
26,8,Sat,I — Agriculture,Case Study: Vernacular Farmer Bot,2,Not Started,"agritech/farmer_bot/","WhatsApp-first farmer assistant, ₹-paise unit economics, trust calibration, audit Cropin/DeHaat/Plantix/Jio Krishi",Session 25,Tier 2/3 India target.
27,9,Mon-Tue,J — Finance,FinTech AI Landscape & Regulation,2,Not Started,"fintech/landscape.md, fintech/regulatory_map.md","RBI/SEC/FINRA/MiFID II/SOX/PCI DSS, sub-vertical taxonomy (retail/markets/payments/insurance/wealth), explainability requirements, AI advice liability",Sessions 18-20,Pick sub-vertical focus.
28,9,Wed-Thu,J — Finance,Reference Arch: Fraud + Customer Support,2,Not Started,"fintech/fraud_support_architecture.md","Hybrid deterministic + LLM, real-time guardrails with latency budgets, structured output everywhere, tool-call gating (no model-decided transactions)",Session 28,Hybrid arch is mandatory.
29,9,Sat,J — Finance,Case Study: Investment Research Assistant,2,Not Started,"fintech/investment_research/","Financial-document RAG with Citations API, batch processing for earnings, faithfulness scoring, audit Boosted.ai/AlphaSense/Bloomberg GPT",Session 9,Compliance-grade build.
30,10,Mon-Tue,K — Vidya Karana,Domain & Content Strategy,2,Not Started,"vidya_karana/domain_map.md","Vedic texts / Yoga Sutras / Ayurvedic shastras, target audience tiers, Sanskrit + vernacular + English, wellness-vs-medical-claim line, cultural sensitivity",Sessions 18-20,Will refine with vidya-karana repo.
31,10,Wed-Thu,K — Vidya Karana,Reference Arch: Applied-Wisdom Assistant,2,Not Started,"vidya_karana/architecture.md","Multi-source RAG (texts + commentary + modern), voice for guided practice, vision for pose feedback, personalization per practice level, citation-to-source-text",Session 9,Multi-modal practice support.
32,10,Sat,K — Vidya Karana,Case Study: Build Slice of vidya-karana,2,Not Started,"vidya_karana/build_slice/","Daily practice flow, cost engineering for daily-use, trust calibration (wisdom vs woo), align to actual vidya-karana repo when available",Session 31,Aligns to user's actual repo.
33,11,Mon-Tue,L — Family AI Agent,Landscape: Identity Privacy Channels,2,Not Started,"family_ai/landscape.md, family_ai/identity_model.md","Multi-generational stakeholders (kids/adults/elders), COPPA, elder consent, family account model, access control matrix, WABA constraints + 24h windows",Sessions 18-20,Three channels: web + mobile + WhatsApp.
34,11,Wed-Sat,L — Family AI Agent,Reference Arch I: Meal + Archivist Specialists,2,Not Started,"family_ai/meal_archivist_arch.md","Meal Specialist (pantry/diet/recipes), Family Archivist (long-term semantic memory + photo retrieval + voice memos), shared family memory schema, who's-asking router",Session 3,Two of three specialist agents.
35,12,Mon-Tue,L — Family AI Agent,Reference Arch II: Scheduler + Proactive Loop,2,Not Started,"family_ai/scheduler_proactive_arch.md","Scheduler/Reminder Agent (calendars/birthdays/school/medication), proactive notification engine, template management for WhatsApp, Family Concierge supervisor",Session 34,Adds the proactive layer.
36,12,Wed-Sun,L — Family AI Agent,Case Study + Vertical Slice Build,2,Not Started,"family_ai/family_concierge/","Reverse-engineer Ohai.ai + Maya + Alexa Routines, build Family Concierge supervisor + 3 specialists + WhatsApp adapter, cost engineering, shipping checklist",Sessions 33-35,Capstone — most complex vertical.
